date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-07-01,Uttar Pradesh,2-Wheelers,303,215180,2022,Q2,7,2021
2021-07-01,Uttarakhand,2-Wheelers,76,12268,2022,Q2,7,2021
2021-07-01,West Bengal,2-Wheelers,36,76665,2022,Q2,7,2021
2021-08-01,Sikkim,2-Wheelers,0,489,2022,Q2,8,2021
2021-08-01,Sikkim,4-Wheelers,0,408,2022,Q2,8,2021
2021-08-01,Andaman & Nicobar Island,2-Wheelers,0,406,2022,Q2,8,2021
2021-08-01,Arunachal Pradesh,2-Wheelers,0,1126,2022,Q2,8,2021
2021-08-01,Arunachal Pradesh,4-Wheelers,0,758,2022,Q2,8,2021
2021-08-01,DNH and DD,4-Wheelers,0,321,2022,Q2,8,2021
2021-08-01,Himachal Pradesh,4-Wheelers,0,3641,2022,Q2,8,2021
2021-08-01,Jammu and Kashmir,4-Wheelers,0,5430,2022,Q2,8,2021
2021-08-01,Ladakh,2-Wheelers,0,30,2022,Q2,8,2021
2021-08-01,Ladakh,4-Wheelers,0,459,2022,Q2,8,2021
2021-08-01,Manipur,2-Wheelers,0,1016,2022,Q2,8,2021
2021-08-01,Manipur,4-Wheelers,0,561,2022,Q2,8,2021
2021-08-01,Meghalaya,2-Wheelers,0,1041,2022,Q2,8,2021
2021-08-01,Meghalaya,4-Wheelers,0,826,2022,Q2,8,2021
2021-08-01,Mizoram,2-Wheelers,0,1057,2022,Q2,8,2021
2021-08-01,Mizoram,4-Wheelers,0,240,2022,Q2,8,2021
2021-08-01,Nagaland,2-Wheelers,0,577,2022,Q2,8,2021
2021-08-01,Nagaland,4-Wheelers,0,763,2022,Q2,8,2021
2021-08-01,Tripura,2-Wheelers,0,2462,2022,Q2,8,2021
2021-08-01,Tripura,4-Wheelers,0,462,2022,Q2,8,2021
2021-08-01,Andaman & Nicobar Island,4-Wheelers,1,110,2022,Q2,8,2021
2021-08-01,Puducherry,4-Wheelers,1,837,2022,Q2,8,2021
2021-08-01,Andhra Pradesh,4-Wheelers,78,8245,2022,Q2,8,2021
2021-08-01,Assam,4-Wheelers,2,6447,2022,Q2,8,2021
2021-08-01,Bihar,4-Wheelers,7,5724,2022,Q2,8,2021
2021-08-01,Chandigarh,4-Wheelers,9,1845,2022,Q2,8,2021
2021-08-01,Chhattisgarh,4-Wheelers,11,4350,2022,Q2,8,2021
2021-08-01,Delhi,4-Wheelers,157,13177,2022,Q2,8,2021
2021-08-01,Goa,4-Wheelers,19,1439,2022,Q2,8,2021
2021-08-01,Gujarat,4-Wheelers,83,20394,2022,Q2,8,2021
2021-08-01,Haryana,4-Wheelers,3,16027,2022,Q2,8,2021
2021-08-01,Jharkhand,4-Wheelers,3,5113,2022,Q2,8,2021
2021-08-01,Karnataka,4-Wheelers,137,21975,2022,Q2,8,2021
2021-08-01,Kerala,4-Wheelers,183,22813,2022,Q2,8,2021
2021-08-01,Madhya Pradesh,4-Wheelers,26,12758,2022,Q2,8,2021
2021-08-01,Maharashtra,4-Wheelers,197,35127,2022,Q2,8,2021
2021-08-01,Odisha,4-Wheelers,4,5453,2022,Q2,8,2021
2021-08-01,Punjab,4-Wheelers,4,9209,2022,Q2,8,2021
2021-08-01,Rajasthan,4-Wheelers,53,11454,2022,Q2,8,2021
